var_name,var_label
dmaethn,Logical Imputation Flag for Ethnicity
dmarace,Logical Imputation Flag for Race Recode
dmdborn,In what country {were you/was SP} born?
dmdcitzn,{Are you/Is SP} a citizen of the United States? [Information about citizenship is being collected by
dmdeduc,(SP Interview Version) What is the highest grade or level of school {you have/SP has} completed or t
dmdeduc2,(SP Interview Version) What is the highest grade or level of school {you have/SP has} completed or t
dmdeduc3,(SP Interview Version) What is the highest grade or level of school {you have/SP has} completed or t
dmdhhsiz,Total number of people in the Household
dmdhrage,Age in years of the household reference person at the time of HH screening.  Individuals 85 and over
dmdhrbrn,In what country {were you/was NON-SP Head} born?
dmdhredu,What is the highest grade or level of school {you have/NON_SP HEAD has} received?
dmdhrgnd,Gender of the household reference person
dmdhrmar,Marital Status of household reference person
dmdhsedu,What is the highest grade or level of school {you have/NON-SP SPOUSE has completed or the highest de
dmdmartl,Marital Status
dmdschol,{Are you/Is SP} now . . .
dmdyrsus,Length of time SP has been in the US.
dmqmilit,Did {you/SP} ever serve in the Armed Forces of the United States?
indfminc,Total family income (reported as a range value in dollars)
indfmpir,Poverty income ratio (PIR) - a ratio of family income to poverty threshold
indhhinc,Total household income (reported as a range value in dollars)
riagendr,Gender of the sample person
ridageex,Best age in months at date of examination for individuals under 85 years of age at screening.
ridagemn,Best age in months at date of screening for individuals under 85 years of age.
ridageyr,Best age in years of the sample person at time of HH screening.  Individuals 85 and over are topcode
ridexmon,Six month time period when the examination was performed - two categories: November 1 through April 
ridexprg,Pregnancy status at the time of MEC exam.
ridpreg,Pregnancy status variable based on all source data. NOTE: This is the previous pregnancy status reco
ridreth1,Recode of reported race and ethnicity information.
ridreth2,Linked NH3 Race and Ethnicity Recode.
ridstatr,Interview and Examination Status of the Sample Person.
sddsrvyr,Data Release Number.
sdj1repn,Jack Knife Replicate Number
sdmvpsu,Masked Variance Unit Pseudo-PSU variable for variance estimation
sdmvstra,Masked Variance Unit Pseudo-Stratum variable for variance estimation
seqn,Respondent sequence number.
wtint2yr,Interviewed Sample Persons.
wtint4yr,Interviewed Sample Persons. Used for 1999-2002 data collection years only.
wtirep01,Interview Weight Jack Knife Replicate 01
wtirep02,Interview Weight Jack Knife Replicate 02
wtirep03,Interview Weight Jack Knife Replicate 03
wtirep04,Interview Weight Jack Knife Replicate 04
wtirep05,Interview Weight Jack Knife Replicate 05
wtirep06,Interview Weight Jack Knife Replicate 06
wtirep07,Interview Weight Jack Knife Replicate 07
wtirep08,Interview Weight Jack Knife Replicate 08
wtirep09,Interview Weight Jack Knife Replicate 09
wtirep10,Interview Weight Jack Knife Replicate 10
wtirep11,Interview Weight Jack Knife Replicate 11
wtirep12,Interview Weight Jack Knife Replicate 12
wtirep13,Interview Weight Jack Knife Replicate 13
wtirep14,Interview Weight Jack Knife Replicate 14
wtirep15,Interview Weight Jack Knife Replicate 15
wtirep16,Interview Weight Jack Knife Replicate 16
wtirep17,Interview Weight Jack Knife Replicate 17
wtirep18,Interview Weight Jack Knife Replicate 18
wtirep19,Interview Weight Jack Knife Replicate 19
wtirep20,Interview Weight Jack Knife Replicate 20
wtirep21,Interview Weight Jack Knife Replicate 21
wtirep22,Interview Weight Jack Knife Replicate 22
wtirep23,Interview Weight Jack Knife Replicate 23
wtirep24,Interview Weight Jack Knife Replicate 24
wtirep25,Interview Weight Jack Knife Replicate 25
wtirep26,Interview Weight Jack Knife Replicate 26
wtirep27,Interview Weight Jack Knife Replicate 27
wtirep28,Interview Weight Jack Knife Replicate 28
wtirep29,Interview Weight Jack Knife Replicate 29
wtirep30,Interview Weight Jack Knife Replicate 30
wtirep31,Interview Weight Jack Knife Replicate 31
wtirep32,Interview Weight Jack Knife Replicate 32
wtirep33,Interview Weight Jack Knife Replicate 33
wtirep34,Interview Weight Jack Knife Replicate 34
wtirep35,Interview Weight Jack Knife Replicate 35
wtirep36,Interview Weight Jack Knife Replicate 36
wtirep37,Interview Weight Jack Knife Replicate 37
wtirep38,Interview Weight Jack Knife Replicate 38
wtirep39,Interview Weight Jack Knife Replicate 39
wtirep40,Interview Weight Jack Knife Replicate 40
wtirep41,Interview Weight Jack Knife Replicate 41
wtirep42,Interview Weight Jack Knife Replicate 42
wtirep43,Interview Weight Jack Knife Replicate 43
wtirep44,Interview Weight Jack Knife Replicate 44
wtirep45,Interview Weight Jack Knife Replicate 45
wtirep46,Interview Weight Jack Knife Replicate 46
wtirep47,Interview Weight Jack Knife Replicate 47
wtirep48,Interview Weight Jack Knife Replicate 48
wtirep49,Interview Weight Jack Knife Replicate 49
wtirep50,Interview Weight Jack Knife Replicate 50
wtirep51,Interview Weight Jack Knife Replicate 51
wtirep52,Interview Weight Jack Knife Replicate 52
wtmec2yr,Both Interviewed and MEC Examined Sample Persons.
wtmec4yr,Both Interviewed and MEC Examined Sample Persons. Used for 1999-2002 data collection years only.
wtmrep01,MEC Exam Weight Jack Knife Replicate 01
wtmrep02,MEC Exam Weight Jack Knife Replicate 02
wtmrep03,MEC Exam Weight Jack Knife Replicate 03
wtmrep04,MEC Exam Weight Jack Knife Replicate 04
