variable,label
seqn,Respondent sequence number
alq100,Had at least 12 alcohol drinks/1 yr?
alq110,Had at least 12 alcohol drinks/lifetime?
alq120q,How often drink alcohol over past 12 mos
alq120u,"# days drink alcohol per wk, mo, yr"
alq130,Avg # alcoholic drinks/day -past 12 mos
alq140q,# days have 5 or more drinks/past 12 mos
alq140u,"# days per week, month, year?"
alq150,Ever have 5 or more drinks every day?
bmaexlen,length of a MEC exam (sec)
bmaexsts,Status of a MEC exam
bmaexcmt,Comment code for an exam
bmxwt,Weight (kg)
bmiwt,Weight Comment
bmxrecum,Recumbent Length (cm)
bmirecum,Recumbent Length Comment
bmxhead,Head Circumference (cm)
bmihead,Head Circumference Comment
bmxht,Standing Height (cm)
bmiht,Standing Height Comment
bmxbmi,Body Mass Index (kg/m**2)
bmxleg,Upper Leg Length (cm)
bmileg,Upper Leg Length Comment
bmxcalf,Maximal Calf Circumference (cm)
bmicalf,Maximal Calf Comment
bmxarml,Upper Arm Length (cm)
bmiarml,Upper Arm Length Comment
bmxarmc,Arm Circumference (cm)
bmiarmc,Arm Circumference Comment
bmxwaist,Waist Circumference (cm)
bmiwaist,Waist Circumference Comment
bmxthicr,Thigh Circumference (cm)
bmithicr,Thigh Circumference Comment
bmxtri,Triceps Skinfold (mm)
bmitri,Triceps Skinfold Comment
bmxsub,Subscapular Skinfold (mm)
bmisub,Subscapular Skinfold Comment
bmaamp,Amputations?
bmaurext,Amputations: Upper Right Extremity?
bmauprel,Amputations: UR  Above or Below Elbow?
bmaulext,Amputations: Upper Left Extremity?
bmauplel,Amputations: UL  Above or Below Elbow?
bmalorex,Amputations: Lower Right Extremity?
bmalorkn,Amputations: LR  Above or Below Knee?
bmallext,Amputations: Lower Left Extremity?
bmallkne,Amputations: LL  Above or Below Knee?
bpq010,Last blood pressure reading by doctor
bpq020,Ever told you had high blood pressure
bpq030,Told had high blood pressure - 2+ times
bpq040a,Taking prescription for hypertension
bpq040b,Told to control weight for hypertension
bpq040c,Told to reduce sodium for hypertension
bpq040d,Told to exercise more for hypertension
bpq040e,Told to reduce alcohol for hypertension
bpq040f,Told to do other things for hypertension
bpq043a,Told to stop smoking for hypertension
bpq043b,Told to increase potassium for hyprtnsn
bpq043c,Told of other diet changes for hyprtnsn
bpq043d,Told to do other things for hyprtnsn
bpq050a,Now taking prescribed medicine
bpq050b,Now controlling weight
bpq050c,Now reducing salt/sodium
bpq050d,Now exercising more
bpq050e,Now reducing alcohol consumption
bpq060,Ever had blood cholesterol checked
bpq070,When blood cholesterol last checked
bpq080,Doctor told you - high cholesterol level
bpq090a,Told to eat less fat for cholesterol
bpq090b,Told to reduce weight for cholesterol
bpq090c,Told to exercise more for cholesterol
bpq090d,Told to take prescriptn for cholesterol
bpq100a,Now eating fewer high fat foods
bpq100b,Now controlling weight
bpq100c,Now increasing exercise
bpq100d,Now taking prescribed medicine
bpq110a,Eating fewer high fat foods on own
bpq110b,Controlling weight on own
bpq110c,Increasing exercise on own
bpq120,Eating fewer high fat foods on own
bpq130,Controlling weight on own
bpq140,Increasing exercise on own
peascst1,Blood Pressure Status
peasctm1,Blood Pressure Time in Seconds
peascct1,Blood Pressure Comment
bpxchr,60 sec HR (30 sec HR * 2)
bpq150a,Had food in the past 30 minutes?
bpq150b,Had alcohol in the past 30 minutes?
bpq150c,Had coffee in the past 30 minutes?
bpq150d,Had cigarettes in the past 30 minutes?
bpaarm,Arm selected:
bpacsz,Coded cuff size
bpxpls,60 sec. pulse (30 sec. pulse * 2):
bpxdb,# of dropped beats in 30 seconds
bpxpuls,Pulse regular or irregular?
bpxpty,Pulse type:
bpxml1,MIL: maximum inflation levels (mm Hg)
bpxsy1,Systolic: Blood pres  (1st rdg) mm Hg
bpxdi1,Diastolic: Blood pres  (1st rdg) mm Hg
bpaen1,Enhancement used first reading
bpxsy2,Systolic: Blood pres  (2nd rdg) mm Hg
bpxdi2,Diastolic: Blood pres  (2nd rdg) mm Hg
bpaen2,Enhancement used second reading
bpxsy3,Systolic: Blood pres  (3rd rdg) mm Hg
bpxdi3,Diastolic: Blood pres  (3rd rdg) mm Hg
bpaen3,Enhancement used third reading
bpxsy4,Systolic: Blood pres  (4th rdg) mm Hg
bpxdi4,Diastolic: Blood pres  (4th rdg) mm Hg
bpaen4,Enhancement used fourth reading
bpxsar,SBP average reported to examinee
bpxdar,DBP average reported to examinee
dbq010,Ever breastfed or fed breastmilk
dbd020,Age started eating other foods (days)
dbd030,Age stopped breastfeeding(days)
dbd040,Age fed formula daily basis(days)
dbd050,Age when stopped receiving formula(days)
dbd060,Age first fed milk daily basis(days)
dbq070a,Type of milk first fed - whole milk
dbq070b,Type of milk first fed - 2% milk
dbq070c,Type of milk first fed - 1% milk
dbq070d,Type of milk first fed - skim/nonfat
dbd070j,Type of milk first fed - other
dbd080,Age started eating solid foods(days)
dbd090,# of times/week eat restaurant food
dbq095,Type of salt used at table
dbq100,How often add salt to food at table
dbq110,Ever eat poultry
dbq120,"When eat poultry, how often eat skin"
dbq130,"Ever eat beef, pork, lamb or veal"
dbq140,"When eating meat, ever eat visible fat"
dbd195,Past 30 day milk product consumption
dbq220a,You drink whole or regular milk
dbq220b,You drink 2% fat milk
dbq220c,You drink 1% fat milk
dbq220d,"You drink skim, nonfat or .5% milk"
dbd220j,You drank another type of milk
dbd235a,How often drank milk age 5-12
dbd235b,How often drank milk age 13-17
dbd235c,How often drank milk age 18-35
ald240,How often drink beer(per month)
ald250,How often drink wine(per month)
ald260,How often drink hard liquor(per month)
dbd270a,Helping of protein food eaten/day
dbd270b,Helping of milk/dairy foods eaten/day
dbd270c,Helping of fruit/fruit juices eaten/day
dbd270d,Helping of vegetables eaten/day
dbd270e,Helping of breads/grain foods eaten/day
dbq300,Community/Government meals delivered
dbq330,Eat meals at community/senior center
dbd360,Attend kindergarten thru high school
dbd370,School serves school lunches
dbd380,# of times/week get school lunch
dbq390,"School lunch free, reduced or full price"
dbd400,School serve complete breakfast each day
dbd410,# of times/week get school breakfast
dbq420,School breakfast free/reduced/full price
sddsrvyr,Data Release Number
ridstatr,Interview/Examination Status
ridexmon,Six month time period
riagendr,Gender
ridageyr,Age at Screening Adjudicated - Recode
ridagemn,Age in Months - Recode
ridageex,Exam Age in Months - Recode
ridreth1,Race/Ethnicity - Recode
ridreth2,Linked NH3 Race/Ethnicity - Recode
dmqmilit,Veteran/Military Status
dmdborn,Country of Birth - Recode
dmdcitzn,Citizenship Status
dmdyrsus,Length of time in US
dmdeduc3,Education Level - Children/Youth 6-19
dmdeduc2,Education Level - Adults 20+
dmdeduc,Education - Recode (old version)
dmdschol,Now attending school?
dmdmartl,Marital Status
dmdhhsiz,Total number of people in the Household
indhhinc,Annual Household Income
indfminc,Annual Family Income
indfmpir,Family PIR
ridexprg,Pregnancy Status at Exam - Recode
ridpreg,Pregnancy Status - Recode (old version)
